Date;CPI Total;Nahrungsmittel und alkoholfreie Getränke;Nahrungsmittel;Brot, Mehl und Getreideprodukte;Fleisch, Fleischwaren;Milch, Käse, Eier;Früchte, Gemüse, Kartoffeln und Pilze
31.10.1996;90.8432;91.4051;90.753;99.1109;78.0815;105.4524;88.138
30.11.1996;90.6761;90.7158;90.0175;99.1339;77.5102;105.5549;85.5933
31.12.1996;90.7479;91.1403;90.4959;99.0395;77.9154;105.6183;87.1648
31.01.1997;91.051;92.2715;91.7058;98.8658;78.2317;105.6706;92.1324
28.02.1997;91.2106;92.4509;91.8945;98.6045;77.9518;105.6414;93.511
31.03.1997;91.0794;92.2008;91.636;98.5224;78.0672;105.6453;92.1483
30.04.1997;91.1671;92.4651;91.9181;98.4887;78.4452;105.5452;92.9683
31.05.1997;90.8834;92.6507;92.0852;98.6427;78.7525;105.5274;93.25
30.06.1997;90.9747;93.2946;92.7952;98.4755;78.9035;105.4576;96.3618
31.07.1997;90.8758;92.766;92.2185;98.6381;78.9223;105.5246;93.6401
31.08.1997;91.076;92.4449;91.8755;98.6569;78.9505;105.4508;92.1387
30.09.1997;91.0742;92.6908;91.9839;98.5071;79.1004;105.3107;92.336
31.10.1997;91.081;92.6652;91.9465;98.6668;79.6336;105.1875;91.3109
30.11.1997;91.0541;92.6857;91.9787;98.6485;80.0697;105.2927;90.7882
31.12.1997;91.0985;93.3003;92.6172;98.752;80.438;105.2244;92.8755
31.01.1998;91.065;93.5911;92.9272;98.6678;80.0885;105.3236;94.6278
28.02.1998;91.1768;93.6089;92.9453;98.7537;79.5829;105.3548;95.3715
31.03.1998;91.1095;93.4279;92.7733;99.0162;79.3604;105.403;94.7736
30.04.1998;91.1465;93.3496;92.7115;99.0435;79.6341;105.404;93.9755
31.05.1998;90.9583;93.5247;92.8781;99.0536;79.4277;105.4351;94.8703
30.06.1998;91.0665;94.6819;94.1644;99.0575;80.313;105.4171;99.1203
31.07.1998;90.9441;93.7531;93.1695;99.1091;80.2159;105.4358;94.6951
31.08.1998;91.2031;93.2936;92.6767;99.0862;79.8943;105.5012;92.8266
30.09.1998;91.1304;93.2038;92.5509;99.172;79.1829;105.3859;93.0857
31.10.1998;91.1122;93.0314;92.3685;99.2218;78.9523;105.4316;92.5927
30.11.1998;90.9644;92.6821;91.9909;99.181;78.7941;105.3742;91.1773
31.12.1998;90.945;92.9053;92.1667;99.2159;78.5363;105.4691;92.0947
31.01.1999;91.1314;93.551;92.8533;99.4269;78.7724;105.6308;94.4526
28.02.1999;91.4394;93.5206;92.8233;99.6261;78.0623;105.4686;95.5258
31.03.1999;91.535;93.2205;92.5749;99.6219;77.1518;105.3664;95.7311
30.04.1999;91.6877;93.3686;92.7319;99.7792;77.4251;105.3541;95.8675
31.05.1999;91.482;93.0333;92.3727;99.7719;77.3306;103.7249;95.6742
30.06.1999;91.5893;93.8638;93.1987;99.8701;77.9747;102.3463;99.4171
31.07.1999;91.6125;93.6505;92.9746;99.8731;78.9731;102.1671;97.1344
31.08.1999;92.0659;93.0556;92.3327;99.917;79.1405;101.8747;94.2144
30.09.1999;92.2398;93.2011;92.5462;99.8533;79.5432;101.5897;94.6557
